word,review_flag,candidate_source,df_total,neg_count,neu_count,pos_count,pmi_neg,pmi_neu,pmi_pos,delta_pmi_pos_minus_neg,fisher_odds_ratio,fisher_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_excludes_zero,direction,direction_stability,dominant_share,wilson_lower,wilson_upper,score_minus9_to9,bh_adjusted_p_value,survives_fdr,statistical_keep,statistical_reject_reasons
ana,,rag_recovered,38,17,11,10,-0.09722238363132707,0.7151090925149948,-0.2840043411093882,-0.18678195747806114,0.8609092140309692,0.8449498850399816,-1.4136772714695451,0.8630857996287955,False,NEG,0.64,0.4473684210526316,0.3014640099805125,0.6029370287800753,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
nekuda,,deterministic,36,21,2,13,0.2767213359406888,-1.4095627868397713,0.15552772009020455,-0.12119361585048427,0.9060973601887932,0.8620283287352438,-1.2016115120838697,0.8099646384032465,False,NEG,0.605,0.5833333333333334,0.4220025157487166,0.7285943794855394,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
ichi,,rag_recovered,33,16,7,10,0.018586069019288942,0.2991350823036294,-0.08330699087225923,-0.10189305989154818,0.914955871066769,1.0,-1.4081292644309162,0.9913652090242189,False,NEG,0.5835,0.48484848484848486,0.32504042108133696,0.6478162455108585,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
handina,,deterministic,32,18,2,12,0.22736669271910337,-1.242106040988208,0.2119531535530239,-0.01541353916607946,0.9761904761904762,1.0,-1.1425608790309385,1.0328276383713826,False,NEG,0.512,0.5625,0.3932559113685198,0.7183466888495963,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
hauna,,deterministic,32,17,3,12,0.1471963440351205,-0.7566792138179661,0.2119531535530239,0.06475680951790341,1.0338845215505557,1.0,-1.123859886030152,1.1421576678620244,False,POS,0.523,0.375,0.22933887309454212,0.5474559264692255,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
mhani,,deterministic,32,17,5,10,0.1471963440351205,-0.10460251723827341,-0.03958561344294065,-0.18678195747806114,0.8609092140309692,0.8449498850399816,-1.4201540591122053,0.9025980461141164,False,NEG,0.6345,0.53125,0.3644951711897464,0.6913061289193116,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
bho,,deterministic,31,17,1,13,0.1922842335636581,-1.9339837456258762,0.36807235547030537,0.17578812190664728,1.1204718537434182,0.8525897963662685,-0.934362763998529,1.2075302075172463,False,POS,0.6255,0.41935483870967744,0.2641554306731223,0.5923373750463029,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
anga,suspected_non_content_seed,deterministic,30,14,6,10,-0.0324752023167072,0.2280360577310887,0.052044862022627036,0.08452006433933423,1.0462120381537112,1.0,-1.1563886643565349,1.2361694879366871,False,POS,0.5585,0.3333333333333333,0.19230498083676134,0.5121994835545616,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
umwe,,deterministic,30,17,3,10,0.23882681950068818,-0.6650487383523984,0.052044862022627036,-0.18678195747806114,0.8609092140309692,0.8449498850399816,-1.4247416742677343,0.8741424730251333,False,NEG,0.6405,0.5666666666666667,0.3919730700081361,0.7262251442353347,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
yenyu,,deterministic,30,15,6,9,0.06374011294259674,0.2280360577310887,-0.09234504731254667,-0.1560851602551434,0.8782508630609897,0.837256049330246,-1.4372929698859125,0.9341756638227187,False,NEG,0.6015,0.5,0.33154125640533766,0.6684587435946623,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
edu,,rag_recovered,26,14,1,11,0.17034168068298072,-1.6846242766891582,0.3861062783005682,0.21576459761758748,1.1512750205648479,0.8388100940094321,-1.0281721473230228,1.2927522324350653,False,POS,0.653,0.4230769230769231,0.2554444331365656,0.6105138625340828,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
rako,,deterministic,26,12,5,9,-0.04378312466986678,0.1898448412269822,0.11047183568714125,0.15425496035700803,1.0986766398158803,0.8274764109834682,-1.2041479266181452,1.4051923166017342,False,POS,0.597,0.34615384615384615,0.1941223032294052,0.5377942881118918,-1,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
ukaona,,deterministic,26,14,3,9,0.17034168068298072,-0.4622318553527105,0.11047183568714125,-0.05986984499583947,0.9412296564195298,1.0,-1.401913237279296,1.0846858796763734,False,NEG,0.559,0.5384615384615384,0.35457938746858797,0.7124414646960878,-2,1.0,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
